metric,tier,filtering,axis,stage,condition_key,baseline_key,value,baseline_value,delta,sign
lives_log10_dispersion,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
lives_log10_dispersion,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
lives_log10_dispersion,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
lives_log10_dispersion,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
lives_log10_dispersion,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
lives_log10_dispersion,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
lives_log10_dispersion,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
lives_log10_dispersion,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
lives_log10_dispersion,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,,,,?
lives_log10_dispersion,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,0.9477455828906506,,,?
lives_log10_dispersion,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,,,,?
lives_log10_dispersion,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,,,,?
lives_log10_dispersion,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,,,,?
lives_log10_dispersion,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,0.4398330231338945,,,?
lives_log10_dispersion,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,0.548089202488782,,,?
lives_log10_dispersion,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,,,?
lives_log10_dispersion,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,0.2671796251461708,,,?
